Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
33064,779,53.08,5.83,-14.62,-0.05,11.24
33120,780,58.99,5.65,-14.91,0.00,4.28
33175,782,64.31,5.69,-15.10,-0.05,3.66
33230,783,69.40,5.36,-15.43,-0.05,2.69
33285,785,74.55,4.11,-15.63,-0.05,3.79
33340,786,64.90,4.03,-15.77,0.15,2.20
33395,788,55.86,3.47,-15.60,0.00,3.66
33451,789,47.03,2.67,-15.31,-0.09,3.05
33506,791,38.05,3.09,-15.32,-0.05,3.05
33561,792,29.67,2.51,-15.57,0.00,2.69
33616,794,21.18,2.47,-15.81,-0.05,2.56
33671,795,13.22,2.61,-15.95,-0.09,2.56
33726,797,4.92,2.50,-16.03,-0.05,1.95
33781,798,-2.78,2.28,-16.53,0.05,2.93
