Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
42723,437,106.39,1.36,10.55,0.06,5.52
42778,439,109.39,1.67,10.72,-0.09,7.60
42833,440,112.42,1.72,10.68,-0.04,6.01
42888,442,107.89,1.65,10.69,-0.04,6.87
42940,443,107.89,1.65,10.69,0.16,5.77
42992,445,107.89,1.65,10.69,0.11,9.92
43044,446,107.89,1.65,10.69,-0.14,4.67
43098,448,103.55,1.59,10.69,0.01,4.42
43150,449,103.55,1.59,10.69,-0.09,3.45
43202,451,103.55,1.59,10.69,0.16,2.96
43254,452,103.55,1.59,10.69,0.16,1.12
43309,454,92.80,1.72,10.35,0.11,3.32
43366,456,92.80,1.72,10.35,-0.09,3.08
43418,457,92.80,1.72,10.35,0.11,3.81
43470,459,92.80,1.72,10.35,0.01,1.98
43522,460,92.80,1.72,10.35,0.01,5.03
43574,462,92.80,1.72,10.35,0.01,1.86
43626,463,92.80,1.72,10.35,0.20,2.10
43678,465,92.80,1.72,10.35,-0.09,2.22
43730,466,92.80,1.72,10.35,-0.04,3.57
43782,468,92.80,1.72,10.35,0.01,2.10
43834,469,92.80,1.72,10.35,0.11,2.47
43888,471,95.35,1.90,10.35,0.01,4.91
43943,472,98.31,0.24,11.35,0.01,3.20
43999,474,103.33,0.02,13.58,0.01,3.32
44054,475,92.85,-0.23,13.70,0.06,1.49
44107,477,92.85,-0.23,13.70,0.01,3.20
44160,478,92.85,-0.23,13.70,0.01,5.52
44214,480,97.30,0.09,13.27,0.01,6.38
44269,481,101.59,0.39,12.57,-0.04,5.28
44322,483,101.59,0.39,12.57,0.06,5.03
44374,484,101.59,0.39,12.57,0.20,5.16
44426,486,101.59,0.39,12.57,0.11,4.67
44478,487,101.59,0.39,12.57,0.11,4.42
44530,489,101.59,0.39,12.57,0.11,4.06
44582,490,101.59,0.39,12.57,0.11,1.73
44634,492,101.59,0.39,12.57,0.16,2.47
44686,493,101.59,0.39,12.57,0.06,2.10
44740,495,95.18,-0.78,12.58,0.01,1.98
44793,496,95.18,-0.78,12.58,0.06,5.40
44847,498,91.35,-0.75,12.58,-0.19,5.52
44901,499,94.63,-0.81,12.58,0.11,5.03
44956,501,97.17,-1.37,12.98,-0.14,3.32
45011,502,99.26,-1.53,13.87,0.01,3.20
45067,504,101.31,-1.15,14.57,-0.04,2.59
45122,505,104.32,-1.12,14.92,0.01,3.93
45177,507,106.78,-1.08,15.40,0.11,2.71
45232,508,108.95,-0.64,15.35,-0.04,2.47
