time_s,hip_fl_rad,knee_fl_rad,hip_fr_rad,knee_fr_rad,hip_rl_rad,knee_rl_rad,hip_rr_rad,knee_rr_rad,hip_fl_deg,knee_fl_deg,hip_fr_deg,knee_fr_deg,hip_rl_deg,knee_rl_deg,hip_rr_deg,knee_rr_deg
2.725,-1.22641610788124,1.36466971853679,-0.778559656199274,1.75373987055679,-0.83007540047199,1.56842604720186,-1.06764125026525,1.31491197933431,-70.2684669084563,78.189815301464,-44.6081823993748,100.481892946723,-47.5598171246766,89.8641929830529,-61.1713376742693,75.3389068470492
2.75,-1.21963105440147,1.39118865529799,-0.809808417180895,1.74239704828991,-0.85629581035122,1.55536088267827,-1.07337087549128,1.33854305611164,-69.8797119802945,79.7092384550549,-46.3986045186347,99.8319971030643,-49.0621359478597,89.1156141972075,-61.4996210179127,76.69286781174
2.775,-1.21234551777112,1.4219979555122,-0.838937266154286,1.72851247084569,-0.881534145610512,1.54154212346666,-1.06714817834105,1.36650773440997,-69.4622814798879,81.474481327081,-48.0675646268841,99.036469415188,-50.5081860401533,88.3238576162744,-61.1430867340165,78.2951258536753
2.8,-1.20583160496874,1.4529206949777,-0.867626364385065,1.71311243429497,-0.90693085519966,1.52699715547371,-1.05745561118686,1.39492164302549,-69.0890617681952,83.2462237894366,-49.7113288735439,98.1541123164844,-51.9633103131309,87.4904923371255,-60.5877435434339,79.9231228968151
2.825,-1.19906712978724,1.48369169171741,-0.896344629723237,1.69660479789459,-0.932821832896448,1.51183709963701,-1.04612149855144,1.42382699972948,-68.7014858896739,85.0092720340325,-51.356764272358,97.2082944210063,-53.4467540626242,86.6218851204999,-59.9383467248988,81.5792778412737
2.85,-1.19075333280261,1.51436253580477,-0.925363082200425,1.67929807507991,-0.95934297635711,1.49608694306226,-1.03356456009914,1.45309013487063,-68.2251404107263,86.7665819543426,-53.0193991273018,96.2166922465221,-54.9663036507811,85.7194676220967,-59.2188871479762,83.2559319801829
2.875,-1.1801402650327,1.54495970038586,-0.954901324942014,1.66133661644739,-0.986663164212571,1.47978390458678,-1.02040773468747,1.48270888036699,-67.6170564198242,88.5196703499059,-54.7118157706278,95.1875764729802,-56.5316351104036,84.7853723242119,-58.465056580097,84.9529610915964
2.9,-1.16711635124977,1.57550432287437,-0.985164252713427,1.64272111476367,-1.01500445912825,1.46294642076844,-1.00777965175765,1.51267928044655,-66.8708411273202,90.2697483053179,-56.445753807639,94.1209867929838,-58.1554716950077,83.8206555638016,-57.7415207248771,86.6701385264734
2.925,-1.14892815500461,1.60579421203889,-1.01609442528663,1.6233469127179,-1.04429642481806,1.44542165591763,-0.996154854095054,1.54280766007348,-65.8287342455163,92.0052311163642,-58.2179221556951,93.0109267843276,-59.8337777026757,82.8165605008908,-57.0754688811169,88.3963675226647
2.95,-1.123947133276,1.63581250439106,-1.04727931031947,1.6030054601754,-1.07410969756287,1.42693886647935,-0.984525257052134,1.57256486527893,-64.3974271325425,93.7251525763332,-60.004684452677,91.8454474044767,-61.5419524044259,81.7575746724485,-56.4091420531198,90.1013297910415
2.975,-1.09429138224934,1.66533392600991,-1.07725602997321,1.58056943044371,-1.10349004399623,1.40711850855208,-0.969674769924567,1.60115466591036,-62.6982777604242,95.4166054403198,-61.7222239724836,90.559957591821,-63.2253222556898,80.6219518147771,-55.5582718169968,91.7394047043428
3,-1.06236647526764,1.69360998110816,-1.10544569851509,1.55592084459473,-1.13206227941899,1.38608264273915,-0.949598280342739,1.62967638437649,-60.8691153290249,97.0367040587286,-63.3373730058059,89.1476976517082,-64.8623907566676,79.4166854852926,-54.4079736965197,93.3735787969125
3.025,-1.02907689379731,1.71163934875001,-1.13093996875486,1.52808817348191,-1.15994132592957,1.36427602801812,-0.924495498450623,1.65853150376761,-58.9617628090185,98.0697107318962,-64.7980870923106,87.553003064368,-66.4597424585727,78.1672584963099,-52.9696902400641,95.0268553553697
3.05,-0.996144119085953,1.69634513721375,-1.15292969010567,1.49729928914082,-1.18713808933124,1.34292497171076,-0.8946148660714,1.68732548056253,-57.0748538104024,97.1934169598883,-66.0580053183805,85.7889299357074,-68.0180022179045,76.9439330817521,-51.2576561155526,96.6766287011163
3.075,-1.01180110555301,1.67615581033162,-1.17478945202906,1.478375656333,-1.18850142797108,1.35418905732741,-0.864666252191081,1.6849952489486,-57.9719330548585,96.0366537383322,-67.3104774177516,84.704685642764,-68.0961157680145,77.5893176476603,-49.5417269379434,96.54311626435
3.1,-1.03035724303142,1.66573078965277,-1.17681506379575,1.50196770730275,-1.1694428325721,1.37422690980346,-0.860997309191431,1.65753882847841,-59.0351214164356,95.4393440520977,-67.4265364229154,86.0564105933883,-67.0041386882057,78.7374020250433,-49.3315119887894,94.9699792508716
3.125,-1.04714681091528,1.65357145910371,-1.16555421345293,1.5265784995739,-1.14759722990845,1.39811693602936,-0.880449954258351,1.63706562893339,-59.9970927960292,94.742665729932,-66.7813372245429,87.4665051209981,-65.7524778546587,80.1061997002445,-50.4460664514899,93.796951323813
